date,l_ipn,r_asn,f,label
01-07-2006,0,701,1,1
01-07-2006,0,714,1,1
01-07-2006,0,1239,1,1
01-07-2006,0,1680,1,1
01-07-2006,0,2514,1,-1
01-07-2006,0,3320,1,-1
01-07-2006,0,3561,13,-1
01-07-2006,0,4134,3,-1
01-07-2006,0,5617,2,-1
01-07-2006,0,6478,1,-1
01-07-2006,0,6713,1,-1
01-07-2006,0,7132,1,-1
01-07-2006,0,9105,1,-1
01-07-2006,0,10738,1,-1
01-07-2006,0,10994,1,-1
01-07-2006,0,12334,1,-1
01-07-2006,0,12524,1,-1
01-07-2006,0,12542,1,-1
01-07-2006,0,13343,1,-1
01-07-2006,0,13446,1,-1
01-07-2006,0,13462,20,-1
01-07-2006,0,13867,1,-1
01-07-2006,0,13989,1,-1
01-07-2006,0,14501,37,-1
01-07-2006,0,16755,1,-1
01-07-2006,0,17228,1,-1
01-07-2006,0,19262,1,-1
01-07-2006,0,19444,1,-1
01-07-2006,0,20258,1,-1
01-07-2006,0,20299,1,-1
01-07-2006,0,20685,1,-1
01-07-2006,0,21003,1,-1
01-07-2006,0,24915,2,-1
01-07-2006,0,29571,1,-1
01-07-2006,0,32636,1,-1
01-07-2006,1,680,1,1
01-07-2006,1,1239,6,1
01-07-2006,1,2828,2,-1
01-07-2006,1,3265,519,-1
01-07-2006,1,4134,9,-1
01-07-2006,1,4804,1,-1
01-07-2006,1,4808,3,-1
01-07-2006,1,6713,7,-1
01-07-2006,1,6830,1,-1
01-07-2006,1,8282,21,-1
01-07-2006,1,9768,1,-1
01-07-2006,1,11908,5,-1
01-07-2006,1,12859,52,-1
01-07-2006,1,14501,3,-1
01-07-2006,1,14777,4,-1
01-07-2006,1,14778,2,-1
01-07-2006,1,15557,1,-1
01-07-2006,1,19548,1,-1
01-07-2006,1,24915,1,-1
01-07-2006,2,1312,218,1
01-07-2006,2,3561,8,-1
01-07-2006,2,3659,1,-1
01-07-2006,2,4323,8,-1
01-07-2006,2,5617,3,-1
01-07-2006,2,5661,6,-1
01-07-2006,2,7018,933,-1
01-07-2006,2,7132,3,-1
01-07-2006,2,7377,198,-1
01-07-2006,2,14501,62,-1
01-07-2006,2,19918,50,-1
01-07-2006,2,29863,4,-1
01-07-2006,2,33260,8,-1
01-07-2006,2,33650,174,-1
01-07-2006,2,36114,1,-1
01-07-2006,3,1239,1,1
01-07-2006,3,2152,1,-1
01-07-2006,3,4134,1,-1
01-07-2006,3,4808,7,-1
01-07-2006,3,11908,6,-1
01-07-2006,3,14501,2,-1
01-07-2006,3,15290,1,-1
01-07-2006,3,17429,1,-1
01-07-2006,3,24915,2,-1
01-07-2006,4,1239,5,1
01-07-2006,4,1668,1,1
01-07-2006,4,3356,21,-1
01-07-2006,4,3561,10,-1
01-07-2006,4,4323,1,-1
01-07-2006,4,8282,21,-1
01-07-2006,4,11908,1,-1
01-07-2006,4,14501,34,-1
01-07-2006,4,14778,6,-1
01-07-2006,4,24915,1,-1
01-07-2006,4,31976,83,-1
01-07-2006,5,2152,3,-1
01-07-2006,5,3561,3,-1
01-07-2006,5,4134,1,-1
01-07-2006,5,4808,7,-1
01-07-2006,5,8070,6,-1
01-07-2006,5,8075,4,-1
01-07-2006,5,11908,6,-1
01-07-2006,5,13867,2,-1
01-07-2006,5,14366,8,-1
01-07-2006,5,14501,1,-1
01-07-2006,5,15290,2,-1
01-07-2006,5,24915,1,-1
01-07-2006,6,1239,2,1
01-07-2006,6,4134,14,-1
01-07-2006,6,4808,8,-1
01-07-2006,6,4837,6,-1
01-07-2006,6,10565,11,-1
01-07-2006,6,11908,13,-1
01-07-2006,6,12968,1,-1
01-07-2006,6,14501,2,-1
01-07-2006,6,15290,4,-1
01-07-2006,6,17429,1,-1
01-07-2006,6,19548,1,-1
01-07-2006,7,109,7,1
01-07-2006,7,2152,46,-1
01-07-2006,7,3356,55,-1
01-07-2006,7,3491,3,-1
01-07-2006,7,3561,35,-1
01-07-2006,7,3582,10,-1
01-07-2006,7,4513,6,-1
01-07-2006,7,6432,10,-1
01-07-2006,7,7805,2,-1
01-07-2006,7,7859,2,-1
01-07-2006,7,8070,5,-1
01-07-2006,7,9156,2,-1
01-07-2006,7,10565,2,-1
01-07-2006,7,10763,5,-1
01-07-2006,7,12222,2,-1
01-07-2006,7,15169,32,-1
01-07-2006,7,15290,2,-1
01-07-2006,7,15830,19,-1
01-07-2006,7,16759,4,-1
01-07-2006,7,17210,7,-1
01-07-2006,7,18924,48,-1
01-07-2006,7,19306,15,-1
01-07-2006,7,21844,26,-1
01-07-2006,7,22277,5,-1
01-07-2006,7,22822,2,-1
01-07-2006,7,25969,6,-1
01-07-2006,7,26085,5,-1
01-07-2006,7,26101,15,-1
01-07-2006,7,26229,16,-1
01-07-2006,7,29720,8,-1
01-07-2006,7,32934,7,-1
01-07-2006,7,33419,2,-1
01-07-2006,8,25,4,1
01-07-2006,8,26,3,1
01-07-2006,8,109,7,1
01-07-2006,8,209,4,1
01-07-2006,8,557,10,1
01-07-2006,8,786,6,1
01-07-2006,8,1103,1,1
01-07-2006,8,1653,5,1
01-07-2006,8,1668,4,1
01-07-2006,8,2152,21,-1
01-07-2006,8,2386,7,-1
01-07-2006,8,2834,23,-1
01-07-2006,8,3356,5,-1
01-07-2006,8,3561,5,-1
01-07-2006,8,3701,4,-1
01-07-2006,8,3999,1,-1
01-07-2006,8,4266,4,-1
01-07-2006,8,5653,16,-1
01-07-2006,8,5662,13,-1
01-07-2006,8,6140,4,-1
01-07-2006,8,6453,4,-1
01-07-2006,8,6939,4,-1
01-07-2006,8,7805,1,-1
01-07-2006,8,8001,4,-1
01-07-2006,8,8070,6,-1
01-07-2006,8,8075,7,-1
01-07-2006,8,8468,6,-1
01-07-2006,8,10913,4,-1
01-07-2006,8,12552,4,-1
01-07-2006,8,13890,4,-1
01-07-2006,8,15169,228,-1
01-07-2006,8,15290,1,-1
01-07-2006,8,17374,5,-1
01-07-2006,8,21844,1,-1
01-07-2006,8,22205,4,-1
01-07-2006,8,22822,8,-1
01-07-2006,8,22982,4,-1
01-07-2006,8,27357,2,-1
01-07-2006,8,33554,4,-1
01-07-2006,9,102,43,1
01-07-2006,9,209,6,1
01-07-2006,9,559,1,1
01-07-2006,9,701,8,1
01-07-2006,9,1239,17,1
01-07-2006,9,2152,193,-1
01-07-2006,9,2911,71,-1
01-07-2006,9,3356,34,-1
01-07-2006,9,3561,13,-1
01-07-2006,9,4267,2,-1
01-07-2006,9,5779,104,-1
01-07-2006,9,6432,5,-1
01-07-2006,9,6453,7,-1
01-07-2006,9,7224,5,-1
01-07-2006,9,7743,32,-1
01-07-2006,9,8070,6,-1
